SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Anticipated,ResponseTime
0,6_4,16_58_15,91.20678,2,0,2,0,0,5,13.25549
0,6_4,16_59_41,177.035,3,0,2,0,0,4,6.639343
