SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount
0,3_27,11_34_20,2.723766,1,0,0,0,0.2406001,1.58,2.37,0,1.95,1,-0.07,-0.08,0.99,33.03,0.93,-34.85,-30.98,1.09,-33.63,0.05,-0.09,0.99,0.05,-0.09,0.99,3.481979,3.611038,0.8528165,0.8559189
0,3_27,11_34_20,2.737053,1,0,0,0,0.2538877,1.58,2.37,0,1.95,1,-0.07,-0.08,0.99,33.03,0.95,-34.88,-30.98,1.08,-33.62,0.05,-0.1,0.99,0.05,-0.09,0.99,3.518295,3.573044,0.8529958,0.8715883
0,3_27,11_34_20,2.748964,1,0,0,0,0.2657981,1.5,2.25,0,1.95,1,-0.07,-0.08,0.99,33.03,0.93,-34.85,-30.98,1.07,-33.6,0.05,-0.1,0.99,0.05,-0.09,0.99,3.509064,3.55278,0.8692609,0.8581554
0,3_27,11_34_20,2.760746,1,0,0,0,0.2775798,1.43,2.15,0,1.95,1,-0.07,-0.08,0.99,33.03,0.91,-34.79,-30.98,1.07,-33.61,0.05,-0.1,0.99,0.05,-0.09,0.99,3.510406,3.587921,0.8692609,0.8581554
0,3_27,11_34_20,2.772306,1,0,0,0,0.2891407,1.37,2.04,0,1.95,1,-0.07,-0.08,0.99,33.03,0.9,-34.77,-30.98,1.07,-33.6,0.05,-0.1,0.99,0.05,-0.09,0.99,3.500671,3.586121,0.8696169,0.8737673
0,3_27,11_34_20,2.784232,1,0,0,0,0.3010664,1.2,1.79,-0.01,1.95,1,-0.06,-0.08,0.99,33.03,0.84,-34.65,-30.98,1.07,-33.6,0.05,-0.09,0.99,0.05,-0.09,0.99,3.505508,3.600555,0.859771,0.8538687
0,3_27,11_34_20,2.796247,1,0,0,0,0.3130817,1.11,1.65,-0.01,1.95,1,-0.06,-0.08,0.99,33.03,0.85,-34.67,-30.98,1.07,-33.61,0.05,-0.09,0.99,0.05,-0.08,0.99,3.49321,3.588379,0.859771,0.8538687
0,3_27,11_34_20,2.808549,1,0,0,0,0.3253832,0.93,1.37,-0.02,1.95,1,-0.06,-0.08,0.99,33.03,0.84,-34.6,-30.98,1.07,-33.61,0.05,-0.09,0.99,0.05,-0.09,0.99,3.496384,3.587784,0.8866629,0.8614985
0,3_27,11_34_20,2.821364,1,0,0,0,0.3381979,0.8,1.17,-0.03,1.95,1,-0.06,-0.08,0.99,33.09,0.8,-34.51,-30.94,1.03,-33.51,0.05,-0.09,0.99,0.05,-0.09,0.99,3.388763,3.566559,0.8783738,0.872739
0,3_27,11_34_20,2.832992,1,0,0,0,0.3498266,0.77,1.11,-0.04,1.95,1,-0.07,-0.08,0.99,33.35,1.19,-35.09,-30.51,1.2,-33.41,0.1,-0.07,0.99,0.1,-0.04,0.99,3.624084,3.632141,0.8417493,0.9146298
0,3_27,11_34_21,2.84556,1,0,0,0,0.3623946,0.71,1.04,-0.06,1.96,1,-0.07,-0.08,0.99,33.47,1.29,-34.86,-30.28,1.29,-33.37,0.15,-0.04,0.99,0.14,0.01,0.99,3.542923,3.642029,0.8417493,0.9146298
0,3_27,11_34_21,2.857752,1,0,0,0,0.3745861,0.7,1.02,-0.07,1.97,1,-0.08,-0.07,0.99,33.64,1.44,-34.91,-30,1.36,-33.16,0.21,0.05,0.98,0.19,0.08,0.98,3.423416,3.494705,0.7915733,1
0,3_27,11_34_21,2.870376,1,0,0,0,0.3872099,0.67,1,-0.08,1.98,1,-0.09,-0.06,0.99,33.7,1.44,-34.95,-29.99,1.35,-33.17,0.24,0.08,0.97,0.2,0.08,0.98,3.480576,3.593369,1,1
0,3_27,11_34_21,2.88395,1,0,0,0,0.4007847,0.66,1,-0.09,1.99,1,-0.09,-0.05,0.99,33.76,1.42,-34.95,-30,1.27,-32.96,0.2,0.08,0.98,0.2,0.08,0.98,3.355667,3.591156,1,1
0,3_27,11_34_21,2.895947,1,0,0,0,0.4127808,0.65,1,-0.1,2,1,-0.1,-0.04,0.99,33.76,1.39,-34.97,-30,1.27,-32.95,0.23,0.08,0.97,0.2,0.08,0.98,3.589279,3.599075,1,1
0,3_27,11_34_21,2.90942,1,0,0,0,0.426254,0.65,1,-0.1,2,0.99,-0.11,-0.03,0.99,33.8,1.35,-34.96,-30,1.25,-32.98,0.22,0.08,0.97,0.2,0.06,0.98,3.462036,3.639404,1,1
0,3_27,11_34_21,2.921276,1,0,0,0,0.4381101,0.64,1,-0.11,2.01,0.99,-0.12,-0.03,0.99,33.81,1.33,-34.96,-30.01,1.25,-33.04,0.23,0.07,0.97,0.21,0.07,0.98,3.553406,3.725098,1,1
0,3_27,11_34_21,2.93334,1,0,0,0,0.4501741,0.64,1,-0.12,2.02,0.99,-0.12,-0.02,0.99,33.83,1.34,-34.92,-30.03,1.27,-33.21,0.21,0.04,0.98,0.19,0.06,0.98,3.382263,3.568924,1,1
0,3_27,11_34_21,2.944882,1,0,0,0,0.4617164,0.64,1,-0.12,2.02,0.99,-0.13,-0.02,0.99,33.83,1.33,-34.92,-30.04,1.28,-33.28,0.21,0.03,0.98,0.19,0.06,0.98,3.410385,3.753113,1,1
0,3_27,11_34_21,2.956957,1,0,0,0,0.4737916,0.64,1,-0.13,2.02,0.99,-0.13,-0.02,0.99,33.82,1.29,-34.9,-30.05,1.23,-33.21,0.2,0.01,0.98,0.19,0.05,0.98,3.526276,3.641815,1,1
0,3_27,11_34_21,2.968907,1,0,0,0,0.4857409,0.63,1,-0.13,2.02,0.99,-0.14,-0.01,0.99,33.82,1.28,-34.9,-30.06,1.21,-33.2,0.2,0.01,0.98,0.19,0.05,0.98,3.450089,3.589417,1,1
0,3_27,11_34_21,2.98066,1,0,0,0,0.4974945,0.64,1.01,-0.13,2.03,0.99,-0.14,-0.01,0.99,33.81,1.26,-34.9,-30.07,1.23,-33.28,0.2,0.02,0.98,0.18,0.04,0.98,3.489822,3.528137,1,1
0,3_27,11_34_21,2.994212,1,0,0,0,0.5110464,0.64,1.02,-0.14,2.03,0.99,-0.14,-0.01,0.99,33.73,1.18,-34.9,-30.13,1.17,-33.19,0.2,0.02,0.98,0.18,0.04,0.98,3.441895,3.560547,1,1
0,3_27,11_34_21,3.006877,1,0,0,0,0.5237112,0.66,1.05,-0.13,2.03,0.99,-0.15,-0.01,0.99,33.7,1.17,-34.89,-30.18,1.13,-33.07,0.19,0.02,0.98,0.17,0.04,0.98,3.307617,3.590515,1,1
